CODIGO|NOME|DTINICIO|DTFIM|natRubr|tpRubr|codIncCP|codIncIRRF|codIncFGTS|codIncSIND|repDSR|rep13|repFerias|repResc|repAfast|fatorRubr|LOCALAPLIC|Domestica|SE|Geral|DESCRICAO|NOTA|ordRescDom|PerAdicRub|ordRemDom|repSFDom|PerFolRes|PerEditRub|PerExcRub|FilCatRub|grupRendDom|codIncCPRP|codIncPisPasep|RDConsignado
eSocial1630|Auxílio babá|01012014||1404|1|0|79|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Valor relativo a reembolso de despesas com babá, limitado ao menor salário de contribuição mensal e condicionado à comprovação na CTPS da empregada, do pagamento da remuneração e do recolhimento da contribuição previdenciária, observado o limite de 6 anos de idade da criança. Caso haja previsão em ACT/CCT, este limite de idade poderá ser maior.|||S||N|N|S|S||0|0|0|N
eSocial1640|Assistência médica|01012014||1405|1|0|9|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|Valor pago diretamente ao trabalhador a título de assistência médica ou odontológica, inclusive o reembolso de despesas com medicamentos, óculos, aparelhos ortopédicos, despesas médico-hospitalares e outras similares|||S||N|N|S|S||0|0|0|N
eSocial1650|Auxílio-creche|01012014||1406|1|0|79|0|0|N|N|N|N|N||S-1200-M;S-2299|N|S|S|O reembolso creche pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança, quando devidamente comprovadas as despesas realizadas. Caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior.|||S||N|N|S|S||0|0|0|N
eSocial1700|Salário maternidade|01012014||4050|1|21|11|11|0|N|S|S|S|S||S-1200-M;S-2299|N|N|N|Valor correspondente ao salário de contribuição mensal da empregada, pago em virtude da licença remunerada por aborto ou maternidade, pelo prazo previsto em lei.|||S||S|N|S|S||31|0|0|S
eSocial1701|Salário maternidade (pago pelo INSS)|01012014|30062021|4050|3|25|0|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à remuneração mensal da empregada, afastada em virtude de licença-maternidade.||35|S|40|N|N|S|S|2||0|0|N
eSocial1701|Salário maternidade (pago pelo INSS)|01072021||9930|3|25|9|11|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente à remuneração mensal da empregada, afastada em virtude de licença-maternidade.||35|S|40|N|N|S|S|2||0|0|N
eSocial1710|Salário maternidade - 13º Salário|01012014||4051|1|22|12|12|0|N|N|N|N|N||S-1200-A;S-2299|N|N|N|Valor correspondente ao salário de contribuição da empregada - no mês de dezembro - cujo pagamento ocorrerá até o dia 20 de dezembro.|||S||N|N|S|S||51|0|0|N
eSocial1711|Salário maternidade - 13º Salário (pago pelo INSS)|01012014|30062021|4051|3|26|0|12|0|N|N|N|N|N||S-1200-A;S-2299|S|S|S|Valor referente à remuneração mensal da empregada, afastada em virtude de licença-maternidade, proporcional aos meses de afastamento no ano.||36|S|41|N|N|S|S|2||0|0|N
eSocial1711|Salário maternidade - 13º Salário (pago pelo INSS)|01072021||9931|3|26|9|12|0|N|N|N|N|N||S-1200-A;S-2299|S|S|S|Valor referente à remuneração mensal da empregada, afastada em virtude de licença-maternidade, proporcional aos meses de afastamento no ano.||36|S|41|N|N|S|S|2||0|0|N
eSocial1720|Salário-família|01012014|30062021|1409|1|51|0|0|0|N|N|N|N|N||S-1200-M;S-2299|S|S|S|Valor referente ao benefício previdenciário devido em virtude da faixa salarial e do número de filhos ou equiparados menores de 14 anos, ou inválidos de qualquer idade.||9|N|56|N|N|S|N||47|0|0|N
