Processo|NumeroInscricao|DtInicio|DtFim
1711070024067011|67522904000158|01012018|
1711120024068011|00913443000173|01012018|
1711140024069011|89850341001646|01012018|
1711200024071011|33870809000123|01012018|
1711210024073011|60857349000176|01012018|
1711210024074011|04031258000106|01012018|
1711210024075011|83310441002241|01012018|
1711200024076011|12285276000142|01012018|
1711080023597021|45780103000150|01012018|
1711210024072021|15689185000160|01012018|
1711180024077011|82643537000134|01012018|
1711010024078011|83646984001424|01012018|
1711010024080011|83646984001505|01012018|
1711210024079021|00087181000135|01012018|
1711010024081011|83646984001696|01012018|
1711090024082011|83646984001939|01012018|
1711090024083011|83646984003044|01012018|
1711170024084011|02077618000266|01012018|
1711210024085011|18104802000964|01012018|
1711090024086011|83646984002072|01012018|
1711210024087011|89842439000175|01012018|
1711090024088011|83646984002153|01012018|
1711090024089011|83646984002234|01012018|
1711090024090011|83646984003478|01012018|
1711200024091011|02077618003443|01012018|
1711210024092011|60857349001148|01012018|
1711160024093011|77883320000595|01012018|
1711160024094011|77883320000838|01012018|
1711160024095011|77883320001052|01012018|
1711170024096011|77883320002105|01012018|
1711210024097011|08578982000105|01012018|
1711010024098011|83310441006409|01012018|
1711210024099011|92685833000151|01012018|
1711210024100011|92685833001204|01012018|
1711140024101011|10539550000137|01012018|
1711210024103011|73274623000126|01012018|
1711060024104011|08082708000140|01012018|
1711040024105011|11252642000285|01012018|
1711140024106011|63388441000122|01012018|
1711040024107011|11252642000870|01012018|
1711210024108011|00549740000343|01012018|
1711040024109011|11252642001095|01012018|
1711010024110011|72679145000171|01012018|
1711170024111011|60779014000187|01012018|
1711170024112011|63388441000556|01012018|
1711040024113011|01285366000117|01012018|
1711080024114011|01031503000197|01012018|
1711100024115011|05208294000165|01012018|
1711090024116011|28835676000203|01012018|
1711130024117011|02599353000185|01012018|
1711210024118011|02688804000150|01012018|
1711030024119011|17153081000162|01012018|
1711090024120011|30034847000662|01012018|
1711130024121011|04826023000100|01012018|
1711120024122011|59476770000158|01012018|
1711210024123011|39634928000163|01012018|
1711120024124011|59476770003840|01012018|
1711120024125011|59476770003920|01012018|
1711120024126011|59476770004064|01012018|
1711210024127011|00348003003993|01012018|
1711210024128011|01462285000145|01012018|
1711160024129011|58998683000106|01012018|
1711110024130011|01358874000188|01012018|
1711110024131011|01358874001230|01012018|
1711210024132011|01616929000102|01012018|
1711110024133011|01358874001664|01012018|
1711210024134011|03129628000180|01012018|
1711090023719071|83310441002594|01012018|
1711210024135011|62087242000111|01012018|
1711210024136011|09128420000122|01012018|
1711210024138011|87124582000104|01012018|
1711210024140011|57506115000170|01012018|
1711170024141011|82640558000104|01012018|
1711210024142011|03802018000103|01012018|
1711080024143011|03541406000170|01012018|
1711040024144011|02856274000102|01012018|
1711090024145011|02343359000197|01012018|
1711090024146011|02343359000359|01012018|
1711090024148011|02343359000430|01012018|
1711080024149011|78791712000325|01012018|
1711210024147021|19551813000106|01012018|
1711090024150011|75104422000106|01012018|
1711160024151011|14061388000145|01012018|
1711090024152011|60899937000172|01012018|
1711110024153011|60899937000253|01012018|
1711110024154011|60899937000504|01012018|
1711120024155011|10144076000144|01012018|
1711120024156011|10144076000225|01012018|
1711120024157011|33033028000184|01012018|
1711120024158011|33033028002047|01012018|
1711120024159011|33033028004252|01012018|
1711120024160011|33033028007510|01012018|
1711120024161011|33033028008169|01012018|
1711130024162011|52548435000411|01012018|
1711130024163011|52548435002112|01012018|
1711140024164011|52548435002546|01012018|
1711140024165011|52548435002708|01012018|
1711140024166011|52548435004751|01012018|
1711140024167011|52548435005561|01012018|
1711140024168011|52548435006371|01012018|
1711140024169011|52548435007181|01012018|
1711140024170011|52548435008072|01012018|
1711140024171011|52548435009630|01012018|
1711140024172011|52548435009982|01012018|
1711140024173011|52548435010646|01012018|
1711140024174011|52548435010999|01012018|
1711140024175011|52548435011294|01012018|
